B_T,Rxy_he2
11.82765,2.95782
11.83056,2.95919
11.83346,2.96056
11.83636,2.96193
11.83927,2.96329
11.84217,2.96465
11.84507,2.96599
11.84798,2.96732
11.85088,2.96863
11.85379,2.96992
11.85669,2.97118
11.85959,2.97243
11.86250,2.97364
11.86540,2.97484
11.86830,2.97602
11.87121,2.97720
11.87411,2.97837
11.87701,2.97949
11.87992,2.98057
11.88282,2.98160
11.88573,2.98260
11.88863,2.98353
11.89153,2.98439
11.89444,2.98517
11.89734,2.98587
11.90024,2.98650
11.90315,2.98707
11.90605,2.98755
11.90896,2.98796
11.91186,2.98832
11.91476,2.98866
11.91767,2.98897
11.92057,2.98925
11.92347,2.98953
11.92638,2.98980
11.92928,2.99008
11.93218,2.99038
11.93509,2.99067
11.93799,2.99097
11.94090,2.99128
11.94380,2.99161
11.94670,2.99193
11.94961,2.99226
11.95251,2.99258
11.95541,2.99289
11.95832,2.99321
11.96122,2.99352
11.96412,2.99384
11.96703,2.99416
11.96993,2.99447
11.97284,2.99480
11.97574,2.99512
11.97864,2.99544
11.98155,2.99576
11.98445,2.99605
11.98735,2.99633
11.99026,2.99658
11.99316,2.99681
11.99607,2.99702
11.99897,2.99721
12.00187,2.99740
12.00478,2.99759
12.00768,2.99778
12.01058,2.99798
12.01349,2.99818
12.01639,2.99838
12.01929,2.99857
12.02220,2.99873
12.02510,2.99887
12.02801,2.99901
12.03091,2.99912
12.03381,2.99922
12.03672,2.99928
12.03962,2.99930
12.04252,2.99929
12.04543,2.99924
12.04833,2.99915
12.05124,2.99903
12.05414,2.99889
12.05704,2.99875
12.05995,2.99860
12.06285,2.99845
12.06575,2.99830
12.06866,2.99817
12.07156,2.99806
12.07446,2.99797
12.07737,2.99790
12.08027,2.99787
12.08318,2.99786
12.08608,2.99790
12.08898,2.99798
12.09189,2.99811
12.09479,2.99828
12.09769,2.99848
12.10060,2.99871
12.10350,2.99894
12.10641,2.99917
12.10931,2.99936
12.11221,2.99951
12.11512,2.99961
12.11802,2.99967
12.12092,2.99969
12.12383,2.99967
12.12673,2.99962
12.12963,2.99956
12.13254,2.99948
12.13544,2.99940
12.13835,2.99932
12.14125,2.99924
12.14415,2.99915
12.14706,2.99905
12.14996,2.99895
12.15286,2.99885
12.15577,2.99876
12.15867,2.99868
12.16157,2.99862
12.16448,2.99859
12.16738,2.99859
12.17029,2.99863
12.17319,2.99870
12.17609,2.99879
12.17900,2.99890
12.18190,2.99901
12.18480,2.99912
12.18771,2.99922
12.19061,2.99932
12.19352,2.99940
12.19642,2.99948
12.19932,2.99956
12.20223,2.99963
12.20513,2.99971
